,CountyName,RecType,"Region-2
County-3
District-4",Type,School,FacilityName,Administrator,Address,City,Zip,Telephone,GradeServed,StRep,StSen,FedCong,Cat,NCES ID
43,Cass,Sch,010092620,26.0,2001,A-C Central Elementary School,Mrs. Deb Rogers,191 S Bluff St,Chandlerville,62627 9128,217476-3312,P-4,93.0,47.0,18.0,4.0,170010505359
44,Morgan,Dist,010690010,26.0,0000,Franklin CUSD 1,Mr. Andy J Stremlau,PO Box 140,Alexander,62601 0140,217478-3011,P-12,100.0,50.0,18.0,2.0,1715750
45,Morgan,Sch,010690010,26.0,0001,Franklin Jr/Sr High School,Mr. Jason Courier,110 State,Franklin,62638 4933,217675-2395,6-12,100.0,50.0,18.0,4.0,171575001885
46,Morgan,Sch,010690010,26.0,2004,Alexander Elem School,Mr. Andrew J Stremlau,PO Box 140,Alexander,62601 0140,217478-3011,2-5,100.0,50.0,18.0,4.0,171575004637
47,Morgan,Sch,010690010,26.0,2005,Franklin East Grade School,Mr. Jason Courier,412 Wyatt St,Franklin,62638 5177,217675-2334,P-1,100.0,50.0,18.0,4.0,171575005160
48,Morgan,Dist,010690060,26.0,0000,Waverly CUSD 6,Mr. Dustin W Day,201 N Miller St,Waverly,62692 1041,217435-8121,P-12,100.0,50.0,18.0,2.0,1741280
49,Morgan,Sch,010690060,26.0,0001,Waverly Junior/Senior High School,Mrs. Tamara Hermes,201 N Miller St,Waverly,62692 1041,217435-2211,7-12,100.0,50.0,18.0,4.0,174128004145
50,Morgan,Sch,010690060,26.0,2002,Waverly Elementary School,Mr. Dustin Day,499 W Elm St,Waverly,62692 1039,217435-2331,P-6,100.0,50.0,18.0,4.0,174128004144
51,Morgan,Dist,010690110,26.0,0000,Meredosia-Chambersburg CUSD 11,Mr. Thad Walker,PO Box 440,Meredosia,62665 0440,217584-1744,P-12,100.0,50.0,18.0,2.0,1725680
52,Morgan,Sch,010690110,26.0,0001,Meredosia-Chambersburg High Sch,Mr. Daniel Carie,830 Main St,Meredosia,62665 0440,217584-1744,9-12,100.0,50.0,18.0,4.0,172568002776
53,Morgan,Sch,010690110,26.0,1001,Meredosia-Chambersburg Jr High,Mr. Daniel Carie,830 Main St,Meredosia,62665 0440,217584-1744,6-8,100.0,50.0,18.0,4.0,172568002777
54,Morgan,Sch,010690110,26.0,2003,Meredosia-Chambersburg Elem Sch,Mr. Thad W. Walker,830 Main Street,Meredosia,62665 0440,217584-1744,P-5,100.0,50.0,18.0,4.0,172568004736
55,Morgan,Dist,010690270,26.0,0000,Triopia CUSD 27,Mr. Steve Eisenhauer,2204 Concord Arenzville Rd,Concord,62631 5017,217457-2283,P-12,100.0,50.0,18.0,2.0,1710830
56,Morgan,Sch,010690270,26.0,0001,Triopia Jr-Sr High School,Mr. Adam Dean,2204 Concord Arenzville Rd,Concord,62631 5017,217457-2281,7-12,100.0,50.0,18.0,4.0,171083001324
57,Morgan,Sch,010690270,26.0,2002,Triopia Grade School,Mrs. Jamie Hobrock,2206 Concord Arenzville Rd,Concord,62631 5017,217457-2284,P-6,100.0,50.0,18.0,4.0,171083001322
58,Morgan,Dist,010691170,22.0,0000,Jacksonville SD 117,Mr. Steve Ptacek,516 Jordan St,Jacksonville,62650 1997,217243-9411,P-12,100.0,50.0,18.0,2.0,1720280
59,Morgan,Sch,010691170,22.0,0014,Jacksonville High School,Mr. Mike McGiles,1211 N Diamond St,Jacksonville,62650 1223,217243-4384,9-12,100.0,50.0,18.0,4.0,172028002280
60,Morgan,Sch,010691170,22.0,1013,Jonathan Turner Jr High School,Mrs. Beth Brockschmidt,664 Lincoln Ave,Jacksonville,62650 2384,217243-4384,7-8,100.0,50.0,18.0,4.0,172028002285
61,Morgan,Sch,010691170,22.0,2001,Eisenhower Elem School,Mr. Gary Barlow,1901 W Lafayette Ave,Jacksonville,62650 1010,217245-5107,K-6,100.0,50.0,18.0,4.0,172028002282
62,Morgan,Sch,010691170,22.0,2005,Washington Elem School,Ms. Mary Camerer,524 S Kosciusko St,Jacksonville,62650 2865,217243-6711,K-6,100.0,50.0,18.0,4.0,172028002279
63,Morgan,Sch,010691170,22.0,2006,Lincoln Elem School,Mrs. Sue Lovdahl,320 W Independence Ave,Jacksonville,62650 1350,217245-8720,K-6,100.0,50.0,18.0,4.0,172028002289
64,Morgan,Sch,010691170,22.0,2007,South Jacksonville Elem School,Mrs. Kelly Zoellner,1700 S West St,South Jacksonville,62650 3279,217245-5514,K-6,100.0,50.0,18.0,4.0,172028002283
65,Morgan,Sch,010691170,22.0,2008,North Jacksonville School,Mrs. Lezlie Fuhr,1626 State Highway 78 N,Jacksonville,62650 6228,217245-4084,K-6,100.0,50.0,18.0,4.0,172028002288
66,Morgan,Sch,010691170,22.0,2009,Murrayville-Woodson Elem School,Mrs. Emily English,PO Box 170,Murrayville,62668 0170,217882-3121,K-6,100.0,50.0,18.0,4.0,172028002286
67,Morgan,Sch,010691170,22.0,3011,Clay Court,Ms. Mekelle Neathery,310 N Clay Ct,Jacksonville,62650 1370,217243-7402,P,100.0,50.0,18.0,4.0,172028002284
68,Morgan,Sch,010691170,22.0,3012,Walnut Court Early Years Prgm,Mrs. Carey Weber,110 Walnut Ct,Jacksonville,62650 1372,217243-2876,P,100.0,50.0,18.0,4.0,172028004190
69,Morgan,Sch,010691170,22.0,3013,Crossroad Learning Center,Mrs. Jill Dillard,30 N Central Park Plz,Jacksonville,62650 2024,217243-0065,K-8,100.0,50.0,18.0,4.0,(Pending)
70,Pike,Dist,010750030,26.0,0000,Pleasant Hill CUSD 3,Mr. Donald Peebles,PO Box 277,Pleasant Hill,62366 0277,217734-2311,P-12,100.0,50.0,18.0,2.0,1731890
71,Pike,Sch,010750030,26.0,0002,Pleasant Hill High School,Mr. Donald Peebles,PO Box 277,Pleasant Hill,62366 0277,217734-2311,9-12,100.0,50.0,18.0,4.0,173189003346
72,Pike,Sch,010750030,26.0,2001,Pleasant Hill Elem School,Mr. Ryan Lowe,PO Box 277,Pleasant Hill,62366 0277,217734-2311,P-8,100.0,50.0,18.0,4.0,173189003345
73,Pike,Dist,010750040,26.0,0000,Griggsville-Perry CUSD 4,Dr. Janet Gladu,PO Box 439,Griggsville,62340 0439,217833-2352,P-12,100.0,50.0,18.0,2.0,1717790
74,Pike,Sch,010750040,26.0,0002,Griggsville-Perry High School,Mr. Jeff Bourne,PO Box 439,Griggsville,62340 0439,217833-2352,9-12,100.0,50.0,18.0,4.0,171779002073
75,Pike,Sch,010750040,26.0,1002,Griggsville-Perry Middle School,Mr. Carl Spath,PO Box 98,Perry,62362 0098,217833-2352,5-8,100.0,50.0,18.0,4.0,171779001063
76,Pike,Sch,010750040,26.0,2001,Griggsville-Perry Primary School,Mr. Jeff Bourne,PO Box 439,Griggsville,62340 0439,217833-2352,P-4,100.0,50.0,18.0,4.0,171779004652
77,Pike,Dist,010750100,26.0,0000,Pikeland CUSD 10,Mrs. Paula Hawley,512 S Madison St,Pittsfield,62363 1960,217285-2147,P-12,100.0,50.0,18.0,2.0,1731710
78,Pike,Sch,010750100,26.0,0009,Pittsfield High School,Mrs. Angie Greger,201 E Higbee St,Pittsfield,62363 1946,217285-6888,9-12,100.0,50.0,18.0,4.0,173171003332
79,Pike,Sch,010750100,26.0,2007,Pittsfield South Elem School,Mrs. Angie Ruebush,655 Clarksville Rd,Pittsfield,62363 1801,217285-2431,P-2,100.0,50.0,18.0,4.0,173171003333
80,Pike,Sch,010750100,26.0,2010,Pikeland Community School,Mrs. Lisa Jockisch,601 Piper Ln,Pittsfield,62363 1982,217285-9462,3-8,100.0,50.0,18.0,4.0,173171005518
81,Pike,Dist,010750120,26.0,0000,Western CUSD 12,Mr. Terry A Robertson,401 McDonough St,Barry,62312 1031,217335-2323,P-12,100.0,50.0,18.0,2.0,1701387
82,Pike,Sch,010750120,26.0,0001,Western High School,Mrs. Constance Thomas,401 McDonough St,Barry,62312 1031,217335-2323,9-12,100.0,50.0,18.0,4.0,170138705910
83,Pike,Sch,010750120,26.0,1001,Western Jr High School,Mr. Jerud VanDyke,PO Box 189,Kinderhook,62345 0189,217432-8324,"P,6-8",100.0,50.0,18.0,4.0,170138705901
84,Pike,Sch,010750120,26.0,2001,Western Barry Elem,Mrs. Constance Thomas,401 McDonough St,Barry,62312 1031,217335-2323,K-5,100.0,50.0,18.0,4.0,170138705902
85,Scott,Dist,010860010,26.0,0000,Winchester CUSD 1,Mr. David C Roberts,149 S Elm St,Winchester,62694 1246,217742-3175,P-12,100.0,50.0,18.0,2.0,1742660
86,Scott,Sch,010860010,26.0,0001,Winchester High School,Mr. Dennis Vortman,200 W Cross St,Winchester,62694 1243,217742-3151,9-12,100.0,50.0,18.0,4.0,174266004288
87,Scott,Sch,010860010,26.0,2002,Winchester Elem School,Mr. Andy Stumpf,283 S Elm St,Winchester,62694 1248,217742-9551,P-8,100.0,50.0,18.0,4.0,174266004287
88,Scott,Dist,010860020,26.0,0000,Scott-Morgan CUSD 2,Mr. Kevin Blankenship,PO Box 230,Bluffs,62621 0230,217754-3351,P-12,100.0,50.0,18.0,2.0,1706600
89,Scott,Sch,010860020,26.0,0001,Bluffs High School,Mr. Joe Kuhlmann,100 W Rockwood St,Bluffs,62621 8114,217754-3815,9-12,100.0,50.0,18.0,4.0,170660000348
90,Scott,Sch,010860020,26.0,1001,Bluffs Junior High School,Mr. Joe Kuhlmann,PO Box 230,Bluffs,62621 0230,217754-3815,7-8,100.0,50.0,18.0,4.0,170660004552
91,Scott,Sch,010860020,26.0,2001,Bluffs Elementary School,Mr. Joe Kuhlmann,PO Box 230,Bluffs,62621 0230,217754-3714,P-6,100.0,50.0,18.0,4.0,170660004551
92,Bond,Dist,030030010,26.0,0000,Mulberry Grove CUSD 1,Mr. Brad Turner,801 W Wall St,Mulberry Grove,62262 1049,618326-8812,P-12,107.0,54.0,13.0,2.0,1727450
93,Bond,Sch,030030010,26.0,0001,Mulberry Grove Sr High School,Brad Turner,801 W Wall St,Mulberry Grove,62262 1049,618326-8812,9-12,107.0,54.0,13.0,4.0,172745002912
94,Bond,Sch,030030010,26.0,1001,Mulberry Grove Jr High School,Brad Turner,801 W Wall St,Mulberry Grove,62262 1049,618326-8812,6-8,107.0,54.0,13.0,4.0,172745004756
95,Bond,Sch,030030010,26.0,2001,Mulberry Grove Elem School,Robert Koontz,801 W Wall St,Mulberry Grove,62262 1049,618326-8811,K-5,107.0,54.0,13.0,4.0,172745004755
96,Bond,Dist,030030020,26.0,0000,Bond County CUSD 2,Wes Olson,1008 N Hena St,Greenville,62246 1378,618664-0170,P-12,107.0,54.0,15.0,2.0,1717730
97,Bond,Sch,030030020,26.0,0001,Bond Cty Comm Unit 2 High School,Mrs. Wendy Porter,1000 E State Route 140,Greenville,62246 4202,618664-1370,9-12,107.0,54.0,15.0,4.0,171773002067
98,Bond,Sch,030030020,26.0,1002,Greenville Jr High School,Gary Brauns,1200 Jr High Dr,Greenville,62246 4203,618664-1226,6-8,107.0,54.0,15.0,4.0,171773002068
99,Bond,Sch,030030020,26.0,2003,Greenville Elem School,Mr. Eric Swingler,800 N Dewey St,Greenville,62246 1383,618664-3117,P-5,107.0,54.0,15.0,4.0,171773002066
100,Bond,Sch,030030020,26.0,2004,Pocahontas Center,Mr. Jason Rakers,4 E State St,Pocahontas,62275 3038,618669-2296,P-8,107.0,54.0,15.0,4.0,171773002069
101,Bond,Sch,030030020,26.0,2005,Sorento Elem School,Bill Carpenter,510 S Main St,Sorento,62086 3017,217272-4111,P-8,107.0,54.0,13.0,4.0,171773002070
102,Christian,Dist,030110010,26.0,0000,Morrisonville CUSD 1,Mr. Gary DePatis,PO Box 13,Morrisonville,62546 0013,217526-4431,P-12,95.0,48.0,13.0,2.0,1726760
103,Christian,Sch,030110010,26.0,0002,Morrisonville High School,Ms. Ann Little,PO Box 13,Morrisonville,62546 0013,217526-4432,9-12,95.0,48.0,13.0,4.0,172676002858
104,Christian,Sch,030110010,26.0,1001,Morrisonville Jr High School,Ms. Ann Little,PO Box 13,Morrisonville,62546 0013,217526-4432,7-8,95.0,48.0,13.0,4.0,172676002857
105,Christian,Sch,030110010,26.0,2001,Morrisonville Elem School,Mrs. Christy Willman,PO Box 13,Morrisonville,62546 0013,217526-4441,P-6,95.0,48.0,13.0,4.0,172676004743
106,Christian,Dist,030110030,26.0,0000,Taylorville CUSD 3,Dr. Greggory Fuerstenau,512 W Spresser St,Taylorville,62568 1849,217824-4951,P-12,95.0,48.0,13.0,2.0,1738700
107,Christian,Sch,030110030,26.0,0006,Taylorville Sr High School,Mr. Matthew Hutchison,815 W Springfield Rd,Taylorville,62568 1245,217824-2268,9-12,95.0,48.0,13.0,4.0,173870003938
108,Christian,Sch,030110030,26.0,1005,Taylorville Jr High School,Mr. Kirk J Kettelkamp,120 E Bidwell St,Taylorville,62568 1358,217824-4924,5-8,95.0,48.0,13.0,4.0,173870003937
109,Christian,Sch,030110030,26.0,2001,Memorial Elem School,Mrs. Nancy C Ganci,101 E Adams St,Taylorville,62568 2201,217287-7929,3-4,95.0,48.0,13.0,4.0,173870003934
110,Christian,Sch,030110030,26.0,2003,North Elem School,Mrs. Brandi K Bruley,805 N Cherokee St,Taylorville,62568 1450,217824-3315,P-2,95.0,48.0,13.0,4.0,173870003935
111,Christian,Sch,030110030,26.0,2005,Stonington Elem School,Mrs. Anita A Brown,500 E North,Stonington,62567 9700,217325-3216,P-4,95.0,48.0,13.0,4.0,173870004846
112,Christian,Dist,030110040,26.0,0000,Edinburg CUSD 4,Mr. Fred Lamkey,100 E Martin St,Edinburg,62531 9713,217623-5603,P-12,96.0,48.0,13.0,2.0,1713410
113,Christian,Sch,030110040,26.0,0002,Edinburg High School,Mrs. Michelle Reiss,100 E Martin St,Edinburg,62531 9713,217623-5603,9-12,96.0,48.0,13.0,4.0,171341001632
114,Christian,Sch,030110040,26.0,1001,Edinburg Jr High School,Mrs. Michelle Reiss,100 E Martin St,Edinburg,62531 9713,217623-5603,7-8,96.0,48.0,13.0,4.0,171341004623
115,Christian,Sch,030110040,26.0,2001,Edinburg Elem School,Mrs. Michelle Reiss,100 E Martin St,Edinburg,62531 9713,217623-5603,P-6,96.0,48.0,13.0,4.0,171341004622
116,Christian,Dist,030110080,26.0,0000,Pana CUSD 8,Dr. David Lett,PO Box 377,Pana,62557 0377,217562-1500,P-12,95.0,48.0,13.0,2.0,1730630
117,Christian,Sch,030110080,26.0,0006,Pana Sr High School,Ms. Gayle McRoberts,PO Box 377,Pana,62557 0377,217562-6600,9-12,95.0,48.0,13.0,4.0,173063003186
118,Christian,Sch,030110080,26.0,1005,Pana Jr High School,Mrs. Juletta Ellis,PO Box 377,Pana,62557 0377,217562-6500,6-8,95.0,48.0,13.0,4.0,173063003184
119,Christian,Sch,030110080,26.0,2001,Lincoln Elem School,Ms. Debra Zueck,PO Box 377,Pana,62557 0377,217562-8500,3-5,95.0,48.0,13.0,4.0,173063003183
120,Christian,Sch,030110080,26.0,2003,Washington Elem School,Mrs. Cheri Wysong,PO Box 377,Pana,62557 0377,217562-7500,P-2,95.0,48.0,13.0,4.0,173063003187
121,Christian,Dist,030110140,24.0,0000,South Fork SD 14,Mr. Ronald Graham,PO Box 20,Kincaid,62540 0020,217237-4333,P-12,96.0,48.0,13.0,2.0,1736640
122,Christian,Sch,030110140,24.0,0001,South Fork Jr Sr High School,Mr. Chris Clark,612 Dial St,Kincaid,62540 4457,217237-4333,6-12,96.0,48.0,13.0,4.0,173664005069
123,Christian,Sch,030110140,24.0,2001,South Fork Elementary School,Mrs. Michelle Rogers,550 Prairie St,Kincaid,62540 4532,217237-4331,P-5,96.0,48.0,13.0,4.0,173664005070
124,Effingham,Dist,030250100,26.0,0000,Altamont CUSD 10,Mr. Jeffrey Fritchtnitch,7 S Ewing St,Altamont,62411 1265,618483-6195,P-12,107.0,54.0,15.0,2.0,1703510
125,Effingham,Sch,030250100,26.0,0001,Altamont High School,Mr. Jerry Tkachuk,7 S Ewing St,Altamont,62411 1265,618483-6194,9-12,107.0,54.0,15.0,4.0,170351000034
126,Effingham,Sch,030250100,26.0,2002,Altamont Grade School,Mr. Doug Hill,407 S Edwards St,Altamont,62411 1701,618483-5171,P-8,107.0,54.0,15.0,4.0,170351000033
127,Effingham,Dist,030250200,26.0,0000,Beecher City CUSD 20,Mr. Scott Cameron,438 E State Highway 33,Beecher City,62414 2219,618487-5100,P-12,107.0,54.0,15.0,2.0,1705460
128,Effingham,Sch,030250200,26.0,0001,Beecher City Jr-Sr High School,Mr. Phil Lark,438 E State Highway 33,Beecher City,62414 2219,618487-5117,6-12,107.0,54.0,15.0,4.0,170546000225
129,Effingham,Sch,030250200,26.0,2003,Beecher City Grade School,Mrs. Rosa Milleville,306 E Vine,Beecher City,62414 0098,618487-5108,P-5,107.0,54.0,15.0,4.0,170546000224
130,Effingham,Dist,030250300,26.0,0000,Dieterich CUSD 30,Cary Jackson,PO Box 187,Dieterich,62424 0187,217925-5249,P-12,109.0,55.0,15.0,2.0,1712240
131,Effingham,Sch,030250300,26.0,0001,Dieterich Jr/Sr High School,Mr. Kevin Haarman,PO Box 187,Dieterich,62424 0187,217925-5247,7-12,109.0,55.0,15.0,4.0,171224001477
132,Effingham,Sch,030250300,26.0,2002,Dieterich Elem School,Mrs. Kathy Pattenaude,PO Box 187,Dieterich,62424 0187,217925-5248,P-6,109.0,55.0,15.0,4.0,171224004604
133,Effingham,Dist,030250400,26.0,0000,Effingham CUSD 40,Mr. Mark E Doan,PO Box 130,Effingham,62401 0130,217540-1501,K-12,107.0,54.0,15.0,2.0,1713560
134,Effingham,Sch,030250400,26.0,0001,Effingham High School,Mr. Jason Fox,1301 W Grove Ave,Effingham,62401 1994,217540-1100,9-12,107.0,54.0,15.0,4.0,171356001648
135,Effingham,Sch,030250400,26.0,1001,Effingham Junior High School,Mr. William Myers,600 S Henrietta St,Effingham,62401 1951,217540-1300,6-8,107.0,54.0,15.0,4.0,171356000654
136,Effingham,Sch,030250400,26.0,2002,Central Grade School,Mrs. Amy Niebrugge,10421 N US Highway 45,Effingham,62401 5405,217540-1400,"P,2-5",109.0,55.0,15.0,4.0,171356002291
137,Effingham,Sch,030250400,26.0,2006,Early Learning Center,Mrs. Jennifer Fox,3224 S Banker St,Effingham,62401 2910,217540-1460,K,109.0,55.0,15.0,4.0,171356001650
138,Effingham,Sch,030250400,26.0,2008,South Side Grade School,Mrs. Cheri Marten,211 W Douglas Ave,Effingham,62401 2720,217540-1530,1-2,107.0,54.0,15.0,4.0,171356001652
139,Effingham,Dist,030250500,26.0,0000,Teutopolis CUSD 50,Mr. William Fritcher,PO Box 607,Teutopolis,62467 0607,217857-3535,P-12,109.0,55.0,15.0,2.0,1738760
140,Effingham,Sch,030250500,26.0,0001,Teutopolis High School,Mr. Greg Beck,801 W Main St,Teutopolis,62467 1271,217857-3139,9-12,107.0,54.0,15.0,4.0,173876003944
141,Effingham,Sch,030250500,26.0,1001,Teutopolis Junior High School,Mr. Pat Drees,904 W Water St,Teutopolis,62467 1050,217857-6678,7-8,107.0,54.0,15.0,4.0,173876001890
142,Effingham,Sch,030250500,26.0,2002,Teutopolis Grade School,Mrs. Angie Sheehan,309 E Main St,Teutopolis,62467 1314,217857-3232,P-6,109.0,55.0,15.0,4.0,173876003943
143,Fayette,Dist,030262010,26.0,0000,Brownstown CUSD 201,Mr. Adam Bussard,421 S College Ave,Brownstown,62418 1129,618427-3355,P-12,107.0,54.0,15.0,2.0,1707440
144,Fayette,Sch,030262010,26.0,0003,Brownstown High School,Mr. Michael Shackelford,421 S College Ave,Brownstown,62418 1129,618427-3839,9-12,107.0,54.0,15.0,4.0,170744000383
145,Fayette,Sch,030262010,26.0,1001,Brownstown Jr High School,Mr. Michael Shackelford,421 S College Ave,Brownstown,62418 1129,618427-3839,7-8,107.0,54.0,15.0,4.0,170744000382
